,title,text,label
1,"Several trade bodies have urged the Centre to set up a regulator to deal with the rising freight charges, amid the problem of container shortages that exporters are facing https://t.co/dILGSCrCk5","Several trade bodies have urged the Centre to set up a regulator to deal with the rising freight charges, amid the problem of container shortages that exporters are facing https://t.co/dILGSCrCk5",REAL
2,"“When I saw the medals around their necks, I realised the potential in these girls from Siwan’s villages,” says Pathak. So, in 2016, he cleared up the paddy crop growing on his ancestral land in Laxmipur village &amp; set up the Rani Laxmibai sports club

https://t.co/eNntK4IlGd","“When I saw the medals around their necks, I realised the potential in these girls from Siwan’s villages,” says Pathak. So, in 2016, he cleared up the paddy crop growing on his ancestral land in Laxmipur village &amp; set up the Rani Laxmibai sports club

https://t.co/eNntK4IlGd",REAL
3,"Here is the news briefing to start your day

https://t.co/dg19LrOtd9","Here is the news briefing to start your day

https://t.co/dg19LrOtd9",REAL
4,"#PopeFrancis on October 10 urged people to pull investments from companies that are not committed to protecting the environment, adding his voice to calls for the economic model that emerges from the #pandemic to be a sustainable one https://t.co/i25HRc4qLn","#PopeFrancis on October 10 urged people to pull investments from companies that are not committed to protecting the environment, adding his voice to calls for the economic model that emerges from the #pandemic to be a sustainable one https://t.co/i25HRc4qLn",REAL
5,"An ultra-light airplane collided on October 10 with another small plane, killing five people as the two aircraft fell into gardens around a small town in #France https://t.co/DHNA8qrzBe","An ultra-light airplane collided on October 10 with another small plane, killing five people as the two aircraft fell into gardens around a small town in #France https://t.co/DHNA8qrzBe",REAL
6,"The #CBI is in the process of taking over the probe into the alleged gang rape &amp; assault on a 19-year-old Dalit woman in #Hathras, following a reference from the UP govt.

#HathrasCase https://t.co/APoLXF2MlN","The #CBI is in the process of taking over the probe into the alleged gang rape &amp; assault on a 19-year-old Dalit woman in #Hathras, following a reference from the UP govt.

#HathrasCase https://t.co/APoLXF2MlN",REAL
7,"Tunisian divers have discovered a French submarine wreck from World War I, the Ariane, which was sunk by a German submarine in 1917 https://t.co/jeC1XQ7bts","Tunisian divers have discovered a French submarine wreck from World War I, the Ariane, which was sunk by a German submarine in 1917 https://t.co/jeC1XQ7bts",REAL
8,"#Fuel demand in September rose month-on-month for the first time since June as easing #coronavirus restrictions supported economic activity and travel, but consumption remained weaker than a year earlier, govt. data showed on Friday https://t.co/FWdrG0KIHX","#Fuel demand in September rose month-on-month for the first time since June as easing #coronavirus restrictions supported economic activity and travel, but consumption remained weaker than a year earlier, govt. data showed on Friday https://t.co/FWdrG0KIHX",REAL
9,"The #Congress on Saturday sent a list of 30 star campaigners to the #ElectionCommission for the first phase of the #BiharAssemblypolls. The list includes leaders who had questioned the party’s leadership through a letter in August

#BiharElections2020 https://t.co/Jvbr82UbUb","The #Congress on Saturday sent a list of 30 star campaigners to the #ElectionCommission for the first phase of the #BiharAssemblypolls. The list includes leaders who had questioned the party’s leadership through a letter in August

#BiharElections2020 https://t.co/Jvbr82UbUb",REAL
10,"Lt. Gen. Saini also highlighted the security of defence establishments and vital installations, improvised explosive devices (IED) and drones as major priority areas to find domestic solutions.

#IndiaChinaBorderTension https://t.co/5RcDaLL2Ly","Lt. Gen. Saini also highlighted the security of defence establishments and vital installations, improvised explosive devices (IED) and drones as major priority areas to find domestic solutions.

#IndiaChinaBorderTension https://t.co/5RcDaLL2Ly",REAL
11,RT @THNewDelhi: #DelhiUniversity announced its first cut-off list for merit-based undergraduate courses on Saturday with Lady Shri Ram Coll…,RT @THNewDelhi: #DelhiUniversity announced its first cut-off list for merit-based undergraduate courses on Saturday with Lady Shri Ram Coll…,REAL
12,RT @THexplains: The Hindu Explains | The CRISPR/Cas9 genetic scissors will lead to the emergence of novel biological applications by making…,RT @THexplains: The Hindu Explains | The CRISPR/Cas9 genetic scissors will lead to the emergence of novel biological applications by making…,REAL
13,RT @THHyderabad: Just In: Suspected CPI-Maoists stabbed to death ruling TRS party activist Bhimeshwar Rao in Alubaaka village of Venkatapur…,RT @THHyderabad: Just In: Suspected CPI-Maoists stabbed to death ruling TRS party activist Bhimeshwar Rao in Alubaaka village of Venkatapur…,REAL
14,"RT @thehindubiz: Several trade bodies have urged the Centre to set up a regulator to deal with the rising freight charges, amid the problem…","RT @thehindubiz: Several trade bodies have urged the Centre to set up a regulator to deal with the rising freight charges, amid the problem…",REAL
15,"In the backdrop of the multi-agency investigation into actor #SushantSinghRajput’s death, the role of #digitalforensics science has come to the fore with digital data being extensively used in the investigation, people familiar with the probes said https://t.co/WM4BLFpc7W","In the backdrop of the multi-agency investigation into actor #SushantSinghRajput’s death, the role of #digitalforensics science has come to the fore with digital data being extensively used in the investigation, people familiar with the probes said https://t.co/WM4BLFpc7W",REAL
16,"The ruling by U.S. District Judge J. Nicholas Ranjan — who was appointed by #DonaldTrump — in #Pittsburgh also poured cold water on Mr. Trump’s claims that #election fraud will work against him 

#USElection2020
 https://t.co/gvESd2kLgC","The ruling by U.S. District Judge J. Nicholas Ranjan — who was appointed by #DonaldTrump — in #Pittsburgh also poured cold water on Mr. Trump’s claims that #election fraud will work against him 

#USElection2020
 https://t.co/gvESd2kLgC",REAL
17,RT @thehindubiz: #Fuel demand in September rose month-on-month for the first time since June as easing #coronavirus restrictions supported…,RT @thehindubiz: #Fuel demand in September rose month-on-month for the first time since June as easing #coronavirus restrictions supported…,REAL
18,"In the six decades since its founding, the @WFP has now grown to become the world’s largest humanitarian agency, providing aid to almost 100 million people in more than 80 countries

#WorldFoodProgramme
#NobelPeacePrize2020

https://t.co/RWd9pzSr6N","In the six decades since its founding, the @WFP has now grown to become the world’s largest humanitarian agency, providing aid to almost 100 million people in more than 80 countries

#WorldFoodProgramme
#NobelPeacePrize2020

https://t.co/RWd9pzSr6N",REAL
19,"The Hindu Profiles | Louise Glück's first published collection was Firstborn (1968), which was acclaimed by critics. Talking about the process, Ms. Glück said she “feels alive” when she writes poetry

#NobelPrize2020

https://t.co/IBNyLY59xZ","The Hindu Profiles | Louise Glück's first published collection was Firstborn (1968), which was acclaimed by critics. Talking about the process, Ms. Glück said she “feels alive” when she writes poetry

#NobelPrize2020

https://t.co/IBNyLY59xZ",REAL
20,"The family members of Babu Lal Vaishnav, a 55-year-old temple priest, who was set on fire in #Rajasthan's Karauli dist, performed his last rites on October 10 after the State govt. announced ex-gratia assistance of ₹10 lakh to the next of kin https://t.co/Prux5aOR76","The family members of Babu Lal Vaishnav, a 55-year-old temple priest, who was set on fire in #Rajasthan's Karauli dist, performed his last rites on October 10 after the State govt. announced ex-gratia assistance of ₹10 lakh to the next of kin https://t.co/Prux5aOR76",REAL
21,"Just In: Suspected CPI-Maoists stabbed to death ruling TRS party activist Bhimeshwar Rao in Alubaaka village of Venkatapuram mandal in Mulugu district around Saturday midnight, say police. A squad of six Maoists barged into Rao's house and murdered him, they said. @sridhar69khm","Just In: Suspected CPI-Maoists stabbed to death ruling TRS party activist Bhimeshwar Rao in Alubaaka village of Venkatapuram mandal in Mulugu district around Saturday midnight, say police. A squad of six Maoists barged into Rao's house and murdered him, they said. @sridhar69khm",REAL
22,"The Hindu Explains | The CRISPR/Cas9 genetic scissors will lead to the emergence of novel biological applications by making it easier to edit genes, &amp; “may make the dream of curing inherited diseases come true” 

#NobelPrize2020

https://t.co/ftPPF6Jqh9","The Hindu Explains | The CRISPR/Cas9 genetic scissors will lead to the emergence of novel biological applications by making it easier to edit genes, &amp; “may make the dream of curing inherited diseases come true” 

#NobelPrize2020

https://t.co/ftPPF6Jqh9",REAL
23,"#DelhiUniversity announced its first cut-off list for merit-based undergraduate courses on Saturday with Lady Shri Ram College setting an asking score of 100% for three honours courses: political science, economics and psychology https://t.co/IajpD0p7S5","#DelhiUniversity announced its first cut-off list for merit-based undergraduate courses on Saturday with Lady Shri Ram College setting an asking score of 100% for three honours courses: political science, economics and psychology https://t.co/IajpD0p7S5",REAL
24,"RT @TheHinduSports: Red Bull’s Max Verstappen, who had been on provisional pole after the first flying laps of the final session at the Ger…","RT @TheHinduSports: Red Bull’s Max Verstappen, who had been on provisional pole after the first flying laps of the final session at the Ger…",REAL
25,The best from the science journals: Asteroid analysis to decoding dinosaurs https://t.co/nRyswwY5s8,The best from the science journals: Asteroid analysis to decoding dinosaurs https://t.co/nRyswwY5s8,REAL
26,RT @TheHinduSports: Swiatek produced another audacious display as she became the first Polish player to win a Grand Slam singles title. #Fr…,RT @TheHinduSports: Swiatek produced another audacious display as she became the first Polish player to win a Grand Slam singles title. #Fr…,REAL
27,"Her first published collection was Firstborn (1968), which was acclaimed by critics. Talking about the process, Ms. Glück said she “feels alive” when she writes poetry. For her, writing is a kind of “revenge against circumstance – bad luck, loss, pain…”

https://t.co/rBo0cuItbw","Her first published collection was Firstborn (1968), which was acclaimed by critics. Talking about the process, Ms. Glück said she “feels alive” when she writes poetry. For her, writing is a kind of “revenge against circumstance – bad luck, loss, pain…”

https://t.co/rBo0cuItbw",REAL
28,"Red Bull’s Max Verstappen, who had been on provisional pole after the first flying laps of the final session at the German circuit, qualified in third place with Ferrari’s Charles Leclerc fourth.

https://t.co/wYEwogXhEe","Red Bull’s Max Verstappen, who had been on provisional pole after the first flying laps of the final session at the German circuit, qualified in third place with Ferrari’s Charles Leclerc fourth.

https://t.co/wYEwogXhEe",REAL
29,"The priest was attacked on Wednesday by five persons, who allegedly poured petrol on him and set him ablaze over a land dispute. 

https://t.co/Nntd8dirDB","The priest was attacked on Wednesday by five persons, who allegedly poured petrol on him and set him ablaze over a land dispute. 

https://t.co/Nntd8dirDB",REAL
30,RT @TheHinduSports: Brazil easily beat Bolivia 5-0 in rainy Sao Paulo while Colombia scored all of its goals in a 3-0 victory in the first…,RT @TheHinduSports: Brazil easily beat Bolivia 5-0 in rainy Sao Paulo while Colombia scored all of its goals in a 3-0 victory in the first…,REAL
31,RT @TheHinduScience: Spiders spin a tale of migration https://t.co/BdjXrF9Et9,RT @TheHinduScience: Spiders spin a tale of migration https://t.co/BdjXrF9Et9,REAL
32,U.S. signs agreement with AstraZeneca to develop COVID-19 antibody treatment https://t.co/taIATsvvvy,U.S. signs agreement with AstraZeneca to develop COVID-19 antibody treatment https://t.co/taIATsvvvy,REAL
33,RT @TheHinduSports: Butler scored 35 points with 12 rebounds and 11 assists and Heat withstood a 40-point performance from Lakers superstar…,RT @TheHinduSports: Butler scored 35 points with 12 rebounds and 11 assists and Heat withstood a 40-point performance from Lakers superstar…,REAL
34,RT @TheHinduScience: U.S. signs agreement with AstraZeneca to develop COVID-19 antibody treatment https://t.co/taIATsvvvy,RT @TheHinduScience: U.S. signs agreement with AstraZeneca to develop COVID-19 antibody treatment https://t.co/taIATsvvvy,REAL
35,"Brazil easily beat Bolivia 5-0 in rainy Sao Paulo while Colombia scored all of its goals in a 3-0 victory in the first half in Barranquilla.

https://t.co/3qWtu49rRt","Brazil easily beat Bolivia 5-0 in rainy Sao Paulo while Colombia scored all of its goals in a 3-0 victory in the first half in Barranquilla.

https://t.co/3qWtu49rRt",REAL
36,"The landmark guilty verdict against #Greece’s far-right Golden Dawn party draws a line under the country’s violent ultra-nationalist surge in the aftermath of its sovereign banking and debt crises. 

https://t.co/9cpRA1ksWc","The landmark guilty verdict against #Greece’s far-right Golden Dawn party draws a line under the country’s violent ultra-nationalist surge in the aftermath of its sovereign banking and debt crises. 

https://t.co/9cpRA1ksWc",REAL
37,"U.S. President #DonaldTrump on October 10 made his first public address after being discharged from hospital where he was treated for #COVID19 infection, assuring his supporters that he felt great

#USElection2020 https://t.co/XT4389xKL1","U.S. President #DonaldTrump on October 10 made his first public address after being discharged from hospital where he was treated for #COVID19 infection, assuring his supporters that he felt great

#USElection2020 https://t.co/XT4389xKL1",REAL
38,RT @TheHinduScience: Watch | The world's most expensive fossil ever sold https://t.co/aJjfzw7FTu,RT @TheHinduScience: Watch | The world's most expensive fossil ever sold https://t.co/aJjfzw7FTu,REAL
39,"Rosberg believes Wolff’s uncertain future is a reason for Hamilton’s reluctance to sign a new contract.

https://t.co/Ht3phrK4cD","Rosberg believes Wolff’s uncertain future is a reason for Hamilton’s reluctance to sign a new contract.

https://t.co/Ht3phrK4cD",REAL
40,RT @TheHinduScience: The best from the science journals: Asteroid analysis to decoding dinosaurs https://t.co/nRyswwY5s8,RT @TheHinduScience: The best from the science journals: Asteroid analysis to decoding dinosaurs https://t.co/nRyswwY5s8,REAL
41,"Butler scored 35 points with 12 rebounds and 11 assists and Heat withstood a 40-point performance from Lakers superstar LeBron James. Game Six is on Sunday, and seven, if needed, will be on Tuesday.

https://t.co/CSZNXNduMk","Butler scored 35 points with 12 rebounds and 11 assists and Heat withstood a 40-point performance from Lakers superstar LeBron James. Game Six is on Sunday, and seven, if needed, will be on Tuesday.

https://t.co/CSZNXNduMk",REAL
42,"The woman alleged that the two, one of them her relative, tried to force themselves on her and threw her out of the car.

https://t.co/yc6YezSvyF","The woman alleged that the two, one of them her relative, tried to force themselves on her and threw her out of the car.

https://t.co/yc6YezSvyF",REAL
43,RT @TheHinduScience: How literature and love helped me deal with loss https://t.co/HXvfFW3HFc,RT @TheHinduScience: How literature and love helped me deal with loss https://t.co/HXvfFW3HFc,REAL
44,RT @TheHinduScience: Coronavirus | U.S. universities rely on rapid tests for safe campus return https://t.co/H2aPWHU92q,RT @TheHinduScience: Coronavirus | U.S. universities rely on rapid tests for safe campus return https://t.co/H2aPWHU92q,REAL
45,"RT @TheHinduSports: Rosberg believes Wolff’s uncertain future is a reason for Hamilton’s reluctance to sign a new contract.

https://t.co/H…","RT @TheHinduSports: Rosberg believes Wolff’s uncertain future is a reason for Hamilton’s reluctance to sign a new contract.

https://t.co/H…",REAL
46,"NC general secretary Ali Muhammad Sagar, who chaired a meeting in the Srinagar constituency on Saturday, “expressed concern over the imposition of property tax”.

https://t.co/k5VXlOi4Ie","NC general secretary Ali Muhammad Sagar, who chaired a meeting in the Srinagar constituency on Saturday, “expressed concern over the imposition of property tax”.

https://t.co/k5VXlOi4Ie",REAL
47,Posters wishing #Taiwan on its “National Day event” by a member of the #BJP were taken down after the Chinese embassy in #Delhi raised the issue with the Ministry of External Affairs https://t.co/VMWtuLlXFT,Posters wishing #Taiwan on its “National Day event” by a member of the #BJP were taken down after the Chinese embassy in #Delhi raised the issue with the Ministry of External Affairs https://t.co/VMWtuLlXFT,REAL
48,Watch | The world's most expensive fossil ever sold https://t.co/aJjfzw7FTu,Watch | The world's most expensive fossil ever sold https://t.co/aJjfzw7FTu,REAL
49,"The Army has been maintaining troops in high altitude areas of Siachen glacier at heights of 20,000 feet for decades. 

https://t.co/WJSWKhN0dp","The Army has been maintaining troops in high altitude areas of Siachen glacier at heights of 20,000 feet for decades. 

https://t.co/WJSWKhN0dp",REAL
50,Spiders spin a tale of migration https://t.co/BdjXrF9Et9,Spiders spin a tale of migration https://t.co/BdjXrF9Et9,REAL
51,Coronavirus | U.S. universities rely on rapid tests for safe campus return https://t.co/H2aPWHU92q,Coronavirus | U.S. universities rely on rapid tests for safe campus return https://t.co/H2aPWHU92q,REAL
52,"Swiatek produced another audacious display as she became the first Polish player to win a Grand Slam singles title. #FrenchOpen 

https://t.co/Df6R4VruY6","Swiatek produced another audacious display as she became the first Polish player to win a Grand Slam singles title. #FrenchOpen 

https://t.co/Df6R4VruY6",REAL
53,"In the six decades since its founding, the WFP has now grown to become the world’s largest humanitarian agency, providing aid to almost 100 million people in more than 80 countries. 

https://t.co/De87ArJA8C","In the six decades since its founding, the WFP has now grown to become the world’s largest humanitarian agency, providing aid to almost 100 million people in more than 80 countries. 

https://t.co/De87ArJA8C",REAL
54,How literature and love helped me deal with loss https://t.co/HXvfFW3HFc,How literature and love helped me deal with loss https://t.co/HXvfFW3HFc,REAL
55,"The posters, issued by BJP’s former Delhi spokesperson Tajinder Singh Bagga, had been put on billboards outside the Chinese embassy. 

https://t.co/wDTZTrDSuj","The posters, issued by BJP’s former Delhi spokesperson Tajinder Singh Bagga, had been put on billboards outside the Chinese embassy. 

https://t.co/wDTZTrDSuj",REAL
56,"Navy ships will hold a PASSEX with USS Ronald Reagan on October 12 as it transits through the Indian Ocean, the official said.

https://t.co/PUG1DeFY3r","Navy ships will hold a PASSEX with USS Ronald Reagan on October 12 as it transits through the Indian Ocean, the official said.

https://t.co/PUG1DeFY3r",REAL
