,title,text,label
1,"Another Hindu Daughter deceived in Islam Marriage. Father puts his Turban on his Daughter's feet begging her not to marry but she did not accept. Just wait &amp; watch, she will regret it because right after marriage she will be killed. If lucky she might manage to escape, Guarantee! https://t.co/0XR88W4WSn","Another Hindu Daughter deceived in Islam Marriage. Father puts his Turban on his Daughter's feet begging her not to marry but she did not accept. Just wait &amp; watch, she will regret it because right after marriage she will be killed. If lucky she might manage to escape, Guarantee! https://t.co/0XR88W4WSn",FAKE
2,"A viral image falsely claims that drinking a 'corona kashayam' made by boiling turmeric, cloves, lemons, and ginger with water will cure COVID-19 positive patients. #BOOMFactCheck #FakeNews #COVID19 #CoronaVirusFacts

https://t.co/smtkImVB92","A viral image falsely claims that drinking a 'corona kashayam' made by boiling turmeric, cloves, lemons, and ginger with water will cure COVID-19 positive patients. #BOOMFactCheck #FakeNews #COVID19 #CoronaVirusFacts

https://t.co/smtkImVB92",FAKE
3,"Multiple Facebook posts falsely claim that #Nigeria's government has pledged $600 million to the campaign of US presidential candidate #JoeBiden because incumbent #DonaldTrump had supported a separatist group in the west African country. #FakeNews

https://t.co/bVWe6RGJzU","Multiple Facebook posts falsely claim that #Nigeria's government has pledged $600 million to the campaign of US presidential candidate #JoeBiden because incumbent #DonaldTrump had supported a separatist group in the west African country. #FakeNews

https://t.co/bVWe6RGJzU",FAKE
4,@AltNewsHindi @AltNews @boomlive_in  plz check,@AltNewsHindi @AltNews @boomlive_in  plz check,FAKE
5,"#BOOMExplains: Will we go back to the ways of older office spaces that we worked in pre-#COVID19? Futurist Ben Hammersley says that things may never go back to the way they were before, in this interview with @govindethiraj. #WFH
Watch full interview here: https://t.co/OpI0PEdRmm https://t.co/yxyYXhYf29","#BOOMExplains: Will we go back to the ways of older office spaces that we worked in pre-#COVID19? Futurist Ben Hammersley says that things may never go back to the way they were before, in this interview with @govindethiraj. #WFH
Watch full interview here: https://t.co/OpI0PEdRmm https://t.co/yxyYXhYf29",FAKE
6,#Replug: The Indian Medical Association that represents allopathic doctors has questioned the govt's endorsement of alternative therapy or AYUSH protocol for #COVID19. Lawyer Murali Neelakantan (@grumpeoldman) explains guidelines to follow before allowing remedies for COVID-19. https://t.co/vQ0eaSR2H6,#Replug: The Indian Medical Association that represents allopathic doctors has questioned the govt's endorsement of alternative therapy or AYUSH protocol for #COVID19. Lawyer Murali Neelakantan (@grumpeoldman) explains guidelines to follow before allowing remedies for COVID-19. https://t.co/vQ0eaSR2H6,FAKE
7,"A video of a group of men brutally assaulting a minor girl in Gujarat for allegedly eloping with a man is viral claiming upper caste men punished a lower caste woman for drawing water from a public well in #UttarPradesh. #Hathras #FakeNews (12/n)

https://t.co/jpPVqx2yAM","A video of a group of men brutally assaulting a minor girl in Gujarat for allegedly eloping with a man is viral claiming upper caste men punished a lower caste woman for drawing water from a public well in #UttarPradesh. #Hathras #FakeNews (12/n)

https://t.co/jpPVqx2yAM",FAKE
8,"A photo of a woman carrying a placard against stereotyping of Muslims has been revived with a false claim that it says Hindus and Muslims can never be on peaceful terms. #BOOMFactCheck #FakeNews #Muslims #Hindus

https://t.co/8GyoFfRgSO","A photo of a woman carrying a placard against stereotyping of Muslims has been revived with a false claim that it says Hindus and Muslims can never be on peaceful terms. #BOOMFactCheck #FakeNews #Muslims #Hindus

https://t.co/8GyoFfRgSO",FAKE
9,"An image has been shared repeatedly in multiple posts on social media which claim it could show US President @realDonaldTrump receiving hospital treatment after he tested positive for the novel #coronavirus in October 2020. The claim is false. #FakeNews

https://t.co/pkho3W1kVy","An image has been shared repeatedly in multiple posts on social media which claim it could show US President @realDonaldTrump receiving hospital treatment after he tested positive for the novel #coronavirus in October 2020. The claim is false. #FakeNews

https://t.co/pkho3W1kVy",FAKE
10,"Proponents of the #QAnon theory argue that Hollywood elites like #TomHanks are secretly harvesting adrenochrome (a psychoactive compound extracted from adrenaline) from the blood of children - a claim which has its root in age-old anti-Semitism. #FakeNews

https://t.co/L0XuHlRVAi","Proponents of the #QAnon theory argue that Hollywood elites like #TomHanks are secretly harvesting adrenochrome (a psychoactive compound extracted from adrenaline) from the blood of children - a claim which has its root in age-old anti-Semitism. #FakeNews

https://t.co/L0XuHlRVAi",FAKE
